"","site_code","plot","block","nutyr","year.x","Treatment","after_n_treatment_yrs","pct_C_post","pct_N_post","ppm_P_post","ppm_K_post","ppm_Ca_post","ppm_Mg_post","ppm_S_post","ppm_Na_post","ppm_Zn_post","ppm_Mn_post","ppm_Fe_post","ppm_Cu_post","ppm_B_post","OrganicMatter_post","pH_post","pct_C_rerun_01","pct_C_rerun","pct_N_rerun_01","pct_N_rerun","pH_add_01","pH_add","pct_C_num","pct_N_num","ppm_P_num","ppm_K_num","ppm_Ca_num","ppm_Mg_num","ppm_S_num","ppm_Na_num","ppm_Zn_num","ppm_Mn_num","ppm_Fe_num","ppm_Cu_num","ppm_B_num","OrganicMatter_num","pH_num","pct_C_numu","pct_N_numu","pct_C_smith","pct_N_smith","pH_smith","year.y","site_name","continent","country","region","managed","burned","grazed","anthropogenic","habitat","elevation","latitude","longitude","RAIN_PET","MAT","MAT_RANGE","ISO","TEMP_VAR","MAX_TEMP","MIN_TEMP","ANN_TEMP_RANGE","TEMP_WET_Q","TEMP_DRY_Q","TEMP_WARM_Q","TEMP_COLD_Q","MAP","MAP_WET_M","MAP_DRY_M","MAP_VAR","MAP_WET_Q","MAP_DRY_Q","MAP_WARM_Q","MAP_COLD_Q","AI","PET","N_Dep","experiment_type","N","P","K","Exclose","trt.x","first_nutrient_year","first_fenced_year","year_trt","sum_INT_cover","sum_NAT_cover","sum_UNK_cover","total_cover","INT_rich","NAT_rich","UNK_rich","rich","site_year_rich","site_richness","site_native_richness","site_introduced_richness","plot_beta","dead_mass","live_mass","total_mass","unsorted_mass","proportion_par","Ambient_PAR","Ground_PAR","pct_C_pre","pct_N_pre","ppm_P_pre","ppm_K_pre","ppm_Ca_pre","ppm_Mg_pre","ppm_S_pre","ppm_Na_pre","ppm_Zn_pre","ppm_Mn_pre","ppm_Fe_pre","ppm_Cu_pre","ppm_B_pre","pH_pre","PercentSand.raw","PercentSilt.raw","PercentClay.raw","Classification","rich.vegan","shan","simpson","even","PercentSand.mean","PercentSilt.mean","PercentClay.mean","siteblock","PercentSiltClay","Sample_ID","trt.y","Rootsgperm2","percroots","totalbiomass","Light","gramminoidfraction","perennialfraction","lnroots","bulk_den","bulk_den_cm2","blockU","mgC_gsoil_post","mgC_cm3_post","soil_gCm2","controlsoilC","soil_gCm2_ln","mgC_cm3_post_ln","live_mass_ln"
"1","bldr.us",10,1,2011,2011,"Control",3,"1.47","0.105","14","179","1186","298","15","55","307.5","48","957","5.1","0.6","2.7","7.2",0,NA,0,NA,0,NA,1.47,0.105,14,179,1186,298,15,55,307.5,48,957,5.1,0.6,2.7,7.2,1.47,0.105,NA,NA,NA,2011,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"SHORTGRASS PRAIRIE",1633,39.972022,-105.233544,-726,9.7,15.5,0.4,79.52,30.1,-8.4,38.5,13.3,0,20.3,0,425,68,14,42,166,48,130,48,0.3701,1151,1.9379,"Experimental (Full Factorial)","0","0","0","0","Control",2009,2009,3,5.2,45,1,51.2,3,2,1,6,18,40,7,15,6.6667,35.5,138.5,174,NA,0.592818832,1678,994.75,1.335,0.097,15,87,1390,268,27,78,1.1,24,259,3,0.6,6.7,72,17.1,10.8,"Sandy Loam",6,0.748453589,1.587769985,0.417719902,72,17.1,10.8,"bldr.us.1",28,190,"Control",28.74761462,0.171886545,167.2476146,0.730525563,0.432714341,0.403271544,3.358554794,0.922768616326531,9.22768616326531,"bldr.us.1",14.7,13.56469866,1356.469866,1374.72167229796,7.21264091732957,2.60747073134148,4.93087032562739
"2","bldr.us",12,2,2011,2011,"Control",3,"1.126","0.089","7","138","1297","293","11","42","435.2","40","311","3.3","0.4","2","7.4",0,NA,0,NA,0,NA,1.126,0.089,7,138,1297,293,11,42,435.2,40,311,3.3,0.4,2,7.4,1.126,0.089,NA,NA,NA,2011,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"SHORTGRASS PRAIRIE",1633,39.972022,-105.233544,-726,9.7,15.5,0.4,79.52,30.1,-8.4,38.5,13.3,0,20.3,0,425,68,14,42,166,48,130,48,0.3701,1151,1.9379,"Experimental (Full Factorial)","0","0","0","0","Control",2009,2009,3,8,40.1,0,48.1,3,3,0,6,18,40,7,15,6.6667,10,52,62,NA,0.750286041,1748,1311.5,1.108,0.081,16,104,1586,322,32,67,1.4,31,298,3.6,0.6,7,72,19.1,8.8,"Sandy Loam",6,1.145462765,2.430237077,0.639294941,72,19.1,8.8,"bldr.us.2",28,192,"Control",146.1258574,0.737540568,198.1258574,0.730525563,0.432714341,0.403271544,4.984468288,1.23709900408163,12.3709900408163,"bldr.us.2",11.26,13.9297347859592,1392.97347859592,1374.72167229796,7.23919593454323,2.63402574855513,3.95124371858143
"4","bldr.us",14,2,2011,2011,"P",3,"1.412","0.093","54","156","1347","313","11","39","435.2","46","502","2.6","0.4","2.5","7.1",0,NA,0,NA,0,NA,1.412,0.093,54,156,1347,313,11,39,435.2,46,502,2.6,0.4,2.5,7.1,1.412,0.093,NA,NA,NA,2011,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"SHORTGRASS PRAIRIE",1633,39.972022,-105.233544,-726,9.7,15.5,0.4,79.52,30.1,-8.4,38.5,13.3,0,20.3,0,425,68,14,42,166,48,130,48,0.3701,1151,1.9379,"Experimental (Full Factorial)","0","1","0","0","P",2009,2009,3,6.1,43.1,0.1,49.3,4,3,1,8,18,40,7,15,5,107.5,174,281.5,NA,0.810826211,1755,1423,1.296,0.103,16,113,1466,277,25,38,1,22,318,3.4,0.5,6.4,NA,NA,NA,NA,8,0.955448012,1.865260201,0.45947337,72,19.1,8.8,"bldr.us.2",28,194,"P",121.2523625,0.41067364,295.2523625,0.730525563,0.432714341,0.403271544,4.797874014,0.913387387755102,9.13387387755102,"bldr.us.2",14.12,12.897029915102,1289.7029915102,1374.72167229796,7.16216723170724,2.55699704571915,5.15905529921453
"5","bldr.us",11,2,2011,2011,"N",3,"1.423","0.113","8","156","1401","326","14","42","435.2","47","293","3.2","0.4","3","6.8",0,NA,0,NA,0,NA,1.423,0.113,8,156,1401,326,14,42,435.2,47,293,3.2,0.4,3,6.8,1.423,0.113,NA,NA,NA,2011,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"SHORTGRASS PRAIRIE",1633,39.972022,-105.233544,-726,9.7,15.5,0.4,79.52,30.1,-8.4,38.5,13.3,0,20.3,0,425,68,14,42,166,48,130,48,0.3701,1151,1.9379,"Experimental (Full Factorial)","1","0","0","0","N",2009,2009,3,21.1,36,0.1,57.2,6,3,1,10,18,40,7,15,4,34.5,161,195.5,NA,0.577690972,1728,998.25,1.248,0.093,14,83,1418,259,30,60,1.1,25,269,3.2,0.6,6.6,NA,NA,NA,NA,10,1.567150716,3.537047848,0.680604908,72,19.1,8.8,"bldr.us.2",28,191,"N",393.2899261,0.70953829,554.2899261,0.730525563,0.432714341,0.403271544,5.974547065,1.07359337142857,10.7359337142857,"bldr.us.2",14.23,15.2772336754286,1527.72336754286,1374.72167229796,7.33153391115236,2.72636372516427,5.08140436498446
"6","bldr.us",1,1,2011,2011,"P",3,"1.571","0.121","165","152","1580","338","24","109","209.5","36","447","4.5","0.5","2.7","7.2",0,NA,0,NA,0,NA,1.571,0.121,165,152,1580,338,24,109,209.5,36,447,4.5,0.5,2.7,7.2,1.571,0.121,NA,NA,NA,2011,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"SHORTGRASS PRAIRIE",1633,39.972022,-105.233544,-726,9.7,15.5,0.4,79.52,30.1,-8.4,38.5,13.3,0,20.3,0,425,68,14,42,166,48,130,48,0.3701,1151,1.9379,"Experimental (Full Factorial)","0","1","0","0","P",2009,2009,3,4.3,35.1,1.1,44.5,5,3,2,12,18,40,7,15,3.3333,19.5,58,77.5,NA,0.851156973,1599,1361,1.224,0.094,20,78,1378,281,47,115,1.5,29,252,3.5,0.6,6.9,NA,NA,NA,NA,12,1.348760738,2.558297268,0.54278125,72,17.1,10.8,"bldr.us.1",28,181,"P",192.6562994,0.768607451,250.6562994,0.730525563,0.432714341,0.403271544,5.260907769,1.03341093061224,10.3341093061224,"bldr.us.1",15.71,16.2348857199184,1623.48857199184,1374.72167229796,7.39233255240007,2.78716236641198,4.06044301054642
"7","bldr.us",3,1,2011,2011,"N",3,"1.507","0.133","10","166","1335","331","14","41","378.5","28","331","3.6","0.4","3.4","6.4",0,NA,0,NA,0,NA,1.507,0.133,10,166,1335,331,14,41,378.5,28,331,3.6,0.4,3.4,6.4,1.507,0.133,NA,NA,NA,2011,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"SHORTGRASS PRAIRIE",1633,39.972022,-105.233544,-726,9.7,15.5,0.4,79.52,30.1,-8.4,38.5,13.3,0,20.3,0,425,68,14,42,166,48,130,48,0.3701,1151,1.9379,"Experimental (Full Factorial)","1","0","0","0","N",2009,2009,3,1.3,41.1,1,43.4,4,3,1,8,18,40,7,15,5,60.5,125,185.5,NA,0.534273452,1631,871.4,1.359,0.104,15,98,1589,317,32,76,1.1,25,304,3.7,0.6,6.7,NA,NA,NA,NA,8,0.391792526,1.174992514,0.188412378,72,17.1,10.8,"bldr.us.1",28,183,"N",68.81195614,0.355044949,193.8119561,0.730525563,0.432714341,0.403271544,4.231377511,0.956239681632653,9.56239681632653,"bldr.us.1",15.07,14.4105320022041,1441.05320022041,1374.72167229796,7.27312951427737,2.66795932828928,4.8283137373023
"12","bldr.us",8,1,2011,2011,"NP",3,"1.403","0.109","85","230","1242","301","15","70","435.2","46","858","1","0.7","2.8","6.8",0,NA,0,NA,0,NA,1.403,0.109,85,230,1242,301,15,70,435.2,46,858,1,0.7,2.8,6.8,1.403,0.109,NA,NA,NA,2011,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"SHORTGRASS PRAIRIE",1633,39.972022,-105.233544,-726,9.7,15.5,0.4,79.52,30.1,-8.4,38.5,13.3,0,20.3,0,425,68,14,42,166,48,130,48,0.3701,1151,1.9379,"Experimental (Full Factorial)","1","1","0","0","NP",2009,2009,3,6,50.1,0.1,56.3,2,3,1,7,18,40,7,15,5.7143,67.5,354,421.5,NA,0.619187758,1699,1052,1.377,0.104,14,85,1250,241,25,68,1,22,280,3.4,0.5,6.6,NA,NA,NA,NA,7,0.574915549,1.358033102,0.295448148,72,17.1,10.8,"bldr.us.1",28,188,"NP",143.5941742,0.28857688,497.5941742,0.730525563,0.432714341,0.403271544,4.966991086,0.949172448979592,9.49172448979592,"bldr.us.1",14.03,13.3168894591837,1331.68894591837,1374.72167229796,7.19420329974403,2.58903311375594,5.86929691313377
"14","bldr.us",20,2,2011,2011,"NP",3,"0.816","0.062","79","145","1441","323","10","56","435.2","38","257","3.3","0.4","1.6","6.8",0,NA,0,NA,0,NA,0.816,0.062,79,145,1441,323,10,56,435.2,38,257,3.3,0.4,1.6,6.8,0.816,0.062,NA,NA,NA,2011,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"SHORTGRASS PRAIRIE",1633,39.972022,-105.233544,-726,9.7,15.5,0.4,79.52,30.1,-8.4,38.5,13.3,0,20.3,0,425,68,14,42,166,48,130,48,0.3701,1151,1.9379,"Experimental (Full Factorial)","1","1","0","0","NP",2009,2009,3,4.1,57,0.1,61.2,3,2,1,6,18,40,7,15,6.6667,67.5,315.5,383,NA,0.486119144,1729,840.5,1.288,0.101,15,75,1494,290,28,88,1,21,260,3.4,0.5,6.8,NA,NA,NA,NA,6,0.502822891,1.276990951,0.280630799,72,19.1,8.8,"bldr.us.2",28,200,"NP",106.2564717,0.251937976,421.7564717,0.730525563,0.432714341,0.403271544,4.665855716,1.00892965714286,10.0892965714286,"bldr.us.2",8.16,8.23286600228571,823.286600228571,1374.72167229796,6.71330437848697,2.10813419249888,5.75415868198127
"18","bnch.us",6,1,2011,2011,"NP",4,"8.183","0.569","19","63","355","37","18","32","329.5","19","70","1.8","0.2","32.9","5.3",0,NA,0,NA,0,NA,8.183,0.569,19,63,355,37,18,32,329.5,19,70,1.8,0.2,32.9,5.3,8.183,0.569,NA,NA,NA,2011,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)",0,0,0,0,"MONTANE GRASSLAND",1318.083,44.27668543,-121.9680169,787,5.5,12.2,0.4,60.55,23.8,-6.3,30.1,-1.1,13.6,13.6,-1.6,1647,283,24,65,797,116,116,741,1.9348,860,2.8441,"Experimental (Full Factorial)","1","1","0","0","NP",2008,2008,4,0,312,0,322,0,12,0,13,34,50,40,3,3.8462,36.3,188.149995,224.449995,NA,NA,NA,NA,7.449,0.52,12,109,247,34,17,18,1.3,8,41,1.9,0.4,5.7,NA,NA,NA,NA,13,2.178821965,7.21574344,0.849460032,71.1,27.2,1.6,"bnch.us.1",28.9,1126,"NP",1129.547107,0.857213016,1317.697102,0.371309525,0.286812299,0.547186798,7.029572041,0.539624339522546,5.39624339522546,"bnch.us.1",81.83,44.15745970313,4415.745970313,5511.61671048011,8.39293206146377,3.78776187547568,5.2372394904649
"19","bnch.us",7,1,2011,2011,"Control",4,"8.073","0.526","7","88","313","55","16","26","352.8","18","96","2.1","0.2","14.9","5.4",0,NA,0,NA,0,NA,8.073,0.526,7,88,313,55,16,26,352.8,18,96,2.1,0.2,14.9,5.4,8.073,0.526,NA,NA,NA,2011,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)",0,0,0,0,"MONTANE GRASSLAND",1318.083,44.27668543,-121.9680169,787,5.5,12.2,0.4,60.55,23.8,-6.3,30.1,-1.1,13.6,13.6,-1.6,1647,283,24,65,797,116,116,741,1.9348,860,2.8441,"Experimental (Full Factorial)","0","0","0","0","Control",2008,2008,4,0,260,0,266,0,10,0,11,34,50,40,3,4.5455,50.75,96.45,147.2,NA,NA,NA,NA,7.145,0.428,11,88,284,39,17,25,1.1,9,42,2.1,0.4,5.7,71.1,27.2,1.6,"Sandy Loam",11,1.963236719,5.666666667,0.818733304,71.1,27.2,1.6,"bnch.us.1",28.9,1127,"Control",950.2711526,0.907855115,1046.721153,0.371309525,0.286812299,0.547186798,6.856747368,0.743971209549072,7.43971209549072,"bnch.us.1",80.73,60.0607957468966,6006.07957468966,5511.61671048011,8.70052749765458,4.09535731166649,4.56902473935174
